Fulfil Customer Shipments Fulfil Customer Shipment Number,Fulfil Customer Shipments Create Time,Fulfil Customer Shipments Assigned Time,Fulfil Customer Shipments Picking Started Time,Fulfil Customer Shipments Picked Time,Fulfil Customer Shipments Weight,Fulfil Customer Shipments Shipped Time
CS115704,2022-07-21 6:05:25,2022-07-21 6:05:30,2022-07-21 8:21:24,2022-07-21 8:31:57,10.37,2022-07-21 18:59:57
CS115701,2022-07-20 23:02:36,2022-07-21 7:22:46,2022-07-21 7:22:49,2022-07-21 7:22:51,110,2022-07-21 14:04:36
CS115699,2022-07-20 23:02:32,2022-07-20 23:02:37,2022-07-21 8:35:34,2022-07-21 8:44:46,143,2022-07-21 15:59:15
CS115698,2022-07-20 22:22:21,2022-07-20 22:22:28,2022-07-21 8:35:40,2022-07-21 8:53:50,88.95,2022-07-21 17:33:19
CS115697,2022-07-20 22:08:25,2022-07-20 22:08:33,2022-07-21 8:29:40,2022-07-21 11:38:20,"2,019.40",2022-07-21 15:41:23
CS115696,2022-07-20 21:56:26,2022-07-20 21:56:32,2022-07-21 6:52:41,2022-07-21 7:21:11,156.8,2022-07-21 19:50:42
CS115695,2022-07-20 21:50:00,2022-07-20 21:50:04,2022-07-21 16:08:19,2022-07-21 17:22:39,"1,586.40",2022-07-22 7:51:31
CS115691,2022-07-20 21:19:34,2022-07-20 21:19:37,2022-07-21 8:28:53,2022-07-21 10:15:44,356,2022-07-21 16:18:13
CS115690,2022-07-20 21:13:35,2022-07-20 21:13:43,2022-07-21 6:52:34,2022-07-21 7:21:06,"1,956",2022-07-21 19:50:07
CS115688,2022-07-20 19:54:00,2022-07-20 19:54:04,2022-07-21 8:33:40,2022-07-21 8:44:39,424,2022-07-21 15:32:20
CS115687,2022-07-20 19:47:35,2022-07-20 19:47:40,2022-07-21 8:45:47,2022-07-21 9:26:37,90,2022-07-21 14:28:00
CS115686,2022-07-20 19:39:57,2022-07-20 19:40:03,2022-07-21 8:21:31,2022-07-21 8:32:03,32.8,2022-07-21 19:00:51
CS115683,2022-07-20 18:45:27,2022-07-20 18:45:31,2022-07-21 7:31:19,2022-07-21 7:43:51,44.25,2022-07-21 13:09:40
CS115682,2022-07-20 18:44:14,2022-07-20 18:44:19,2022-07-21 7:24:14,2022-07-21 7:24:16,153,2022-07-21 14:17:50
CS115679,2022-07-20 18:42:10,2022-07-20 19:07:16,2022-07-20 19:07:41,2022-07-20 19:07:42,15,2022-07-21 14:17:52
CS115678,2022-07-20 18:39:43,2022-07-20 20:09:14,2022-07-20 20:09:15,2022-07-20 20:09:16,110,2022-07-21 14:35:58
CS115676,2022-07-20 18:39:39,2022-07-20 18:39:45,2022-07-21 8:15:21,2022-07-21 8:34:54,164.9,2022-07-21 12:14:46
CS115675,2022-07-20 18:13:39,2022-07-20 18:13:43,2022-07-21 7:42:02,2022-07-21 8:04:07,462.78,2022-07-21 15:29:49
CS115674,2022-07-20 18:11:41,2022-07-20 18:11:51,2022-07-21 8:15:27,2022-07-21 8:22:46,105,2022-07-21 13:05:15
CS115673,2022-07-20 18:03:56,2022-07-21 7:48:08,2022-07-21 7:54:56,2022-07-21 8:32:27,"1,728",2022-07-21 15:17:22
CS115672,2022-07-20 17:54:15,2022-07-20 20:07:28,2022-07-20 20:07:42,2022-07-20 20:07:44,80.75,2022-07-21 13:38:23
CS115670,2022-07-20 17:35:47,2022-07-20 17:35:51,2022-07-21 8:09:55,2022-07-21 9:18:55,"2,418.30",2022-07-21 12:28:28
CS115669,2022-07-20 17:31:01,2022-07-21 7:36:13,2022-07-21 7:36:17,2022-07-21 7:36:18,346.71,2022-07-21 14:09:15
CS115667,2022-07-20 17:30:56,2022-07-20 17:31:03,2022-07-21 7:21:55,2022-07-21 8:28:00,"2,098.62",2022-07-21 15:17:19
CS115665,2022-07-20 17:25:40,2022-07-20 21:37:55,2022-07-20 21:37:56,2022-07-20 21:37:58,"1,100",2022-07-21 9:45:25
CS115663,2022-07-20 17:15:38,2022-07-20 17:15:40,2022-07-21 8:28:42,2022-07-21 8:54:27,356,2022-07-21 14:21:22
CS115660,2022-07-20 17:07:39,2022-07-20 17:07:42,2022-07-21 7:45:27,2022-07-21 8:27:42,897.2,2022-07-21 14:39:56
CS115659,2022-07-20 17:06:34,2022-07-20 17:06:36,2022-07-21 7:17:37,2022-07-21 7:17:40,296.8,2022-07-21 11:41:20
CS115658,2022-07-20 17:05:42,2022-07-20 17:05:45,2022-07-21 7:42:39,2022-07-21 8:04:28,368.64,2022-07-21 12:56:18
CS115657,2022-07-20 17:01:32,2022-07-20 17:01:39,2022-07-21 7:01:30,2022-07-21 7:29:07,333.6,2022-07-21 14:00:22
CS115655,2022-07-20 16:59:00,2022-07-20 21:35:25,2022-07-20 21:35:27,2022-07-20 21:35:28,12.24,2022-07-21 17:33:38
CS115654,2022-07-20 16:58:34,2022-07-20 16:59:04,2022-07-21 5:40:59,2022-07-21 7:43:20,"3,204.81",2022-07-21 17:33:43
CS115653,2022-07-20 16:42:16,2022-07-20 21:35:50,2022-07-20 21:35:55,2022-07-20 21:35:57,79.5,2022-07-21 11:35:12
CS115651,2022-07-20 16:42:07,2022-07-20 16:42:18,2022-07-21 6:53:37,2022-07-21 7:10:45,16,2022-07-21 11:35:04
CS115649,2022-07-20 16:35:59,2022-07-20 16:36:03,2022-07-21 7:29:57,2022-07-21 7:35:35,62.6,2022-07-21 19:50:46
CS115648,2022-07-20 16:30:51,2022-07-20 16:30:59,2022-07-21 7:18:07,2022-07-21 7:41:26,166.4,2022-07-21 10:31:48
CS115646,2022-07-20 16:27:47,2022-07-20 16:28:02,2022-07-21 5:43:35,2022-07-21 7:11:11,"1,083.80",2022-07-21 12:52:29
CS115645,2022-07-20 16:26:51,2022-07-20 16:26:56,2022-07-20 18:33:30,2022-07-20 18:33:31,"10,240",2022-07-21 15:31:00
CS115640,2022-07-20 16:19:35,2022-07-20 20:06:17,2022-07-20 20:06:22,2022-07-20 20:06:23,2.32,2022-07-21 12:21:58
CS115639,2022-07-20 16:19:12,2022-07-20 16:19:17,2022-07-21 5:44:15,2022-07-21 6:51:57,528.58,2022-07-21 10:11:30
CS115637,2022-07-20 16:08:32,2022-07-20 16:08:36,2022-07-21 17:42:58,2022-07-21 17:43:15,906.72,2022-07-22 9:10:43
CS115636,2022-07-20 16:07:07,2022-07-20 16:07:15,2022-07-20 16:09:59,2022-07-20 18:44:06,217,2022-07-21 8:48:12
CS115635,2022-07-20 16:05:03,2022-07-20 16:05:06,,2022-07-21 5:41:46,"1,889.25",2022-07-21 13:47:55
CS115634,2022-07-20 16:03:59,2022-07-20 16:04:03,2022-07-21 5:41:24,2022-07-21 7:11:35,"2,640",2022-07-21 11:04:40
CS115630,2022-07-20 15:59:54,2022-07-20 21:32:35,2022-07-20 21:32:37,2022-07-20 21:32:38,8.82,2022-07-21 12:12:02
CS115629,2022-07-20 15:59:38,2022-07-20 15:59:56,2022-07-21 6:29:21,2022-07-21 6:49:29,1.72,2022-07-21 12:12:04
CS115628,2022-07-20 15:59:04,2022-07-20 15:59:17,2022-07-21 6:49:46,2022-07-21 7:01:13,14.45,2022-07-21 11:46:38
CS115627,2022-07-20 15:57:24,2022-07-20 15:57:35,2022-07-21 6:29:14,2022-07-21 6:49:23,9.54,2022-07-21 12:52:00
CS115626,2022-07-20 15:55:51,2022-07-21 5:54:15,2022-07-21 5:54:27,2022-07-21 5:54:29,0,
CS115625,2022-07-20 15:55:25,2022-07-20 15:55:32,2022-07-20 21:18:06,2022-07-21 6:05:32,"1,251.44",2022-07-21 11:12:28
CS115623,2022-07-20 15:53:38,2022-07-20 15:53:41,2022-07-20 18:43:54,2022-07-20 19:38:38,"3,549.80",2022-07-21 13:51:18
CS115621,2022-07-20 15:52:22,2022-07-20 15:52:32,2022-07-21 1:30:27,2022-07-21 1:30:28,"3,665.78",2022-07-21 13:05:12
CS115620,2022-07-20 15:49:30,2022-07-20 15:49:37,2022-07-21 0:41:10,2022-07-21 0:41:12,72,2022-07-21 10:27:08
CS115619,2022-07-20 15:47:26,2022-07-20 15:47:28,2022-07-21 0:47:25,2022-07-21 0:47:26,190.4,2022-07-21 12:23:02
CS115618,2022-07-20 15:45:54,2022-07-20 15:46:01,2022-07-21 1:31:35,2022-07-21 1:31:37,"1,476.78",2022-07-21 13:24:04
CS115617,2022-07-20 15:45:08,2022-07-20 15:45:13,2022-07-21 1:32:37,2022-07-21 1:32:38,"1,157.06",2022-07-21 11:15:57
CS115615,2022-07-20 15:44:21,2022-07-20 15:44:37,2022-07-20 21:05:00,2022-07-20 21:15:52,21.24,2022-07-21 11:32:36
CS115613,2022-07-20 15:36:44,2022-07-20 15:36:48,2022-07-21 7:10:16,2022-07-21 7:29:33,123.64,2022-07-21 13:34:26
CS115609,2022-07-20 15:29:00,2022-07-20 15:34:51,2022-07-21 1:30:50,2022-07-21 1:30:54,"1,738.60",2022-07-21 15:21:09
CS115606,2022-07-20 15:18:53,2022-07-20 15:19:48,2022-07-21 1:33:15,2022-07-21 1:33:16,"1,148.60",2022-07-21 13:13:47
CS115605,2022-07-20 15:10:14,2022-07-20 18:49:00,2022-07-20 18:49:11,2022-07-20 18:49:15,93.2,2022-07-21 11:35:10
CS115598,2022-07-20 14:57:53,2022-07-20 14:57:56,2022-07-21 1:34:38,2022-07-21 1:34:40,0.4,2022-07-21 12:22:00
CS115594,2022-07-20 14:53:15,2022-07-20 14:53:26,2022-07-21 1:33:53,2022-07-21 1:33:54,339.68,
CS115593,2022-07-20 14:51:20,2022-07-20 14:51:25,2022-07-20 18:37:29,2022-07-20 18:58:04,"3,767.40",2022-07-21 13:07:48
CS115590,2022-07-20 14:45:30,2022-07-20 14:45:43,2022-07-22 6:48:30,2022-07-22 6:59:27,460.48,
CS115584,2022-07-20 14:40:21,2022-07-20 14:44:48,2022-07-20 22:21:39,2022-07-20 22:21:40,667.4,2022-07-21 9:39:37
CS115579,2022-07-20 14:37:36,2022-07-20 14:37:40,2022-07-20 17:30:16,2022-07-20 17:30:17,320,2022-07-21 14:17:07
CS115578,2022-07-20 14:36:15,2022-07-20 14:36:18,2022-07-20 20:11:15,2022-07-20 21:17:37,644.58,2022-07-21 8:29:21
CS115575,2022-07-20 14:34:46,2022-07-21 7:51:40,2022-07-21 7:51:45,2022-07-21 7:51:46,31.84,2022-07-22 9:17:17
CS115573,2022-07-20 14:34:28,2022-07-21 22:13:57,2022-07-22 2:20:34,2022-07-22 2:21:40,"1,981.39",2022-07-22 9:18:49
CS115568,2022-07-20 14:31:48,2022-07-20 14:33:55,2022-07-20 22:22:10,2022-07-20 22:22:13,540.55,2022-07-21 11:40:42
CS115567,2022-07-20 14:30:49,2022-07-21 7:25:50,2022-07-21 7:31:32,2022-07-21 7:31:36,912.5,2022-07-21 13:48:15
CS115566,2022-07-20 14:26:29,2022-07-20 14:33:55,2022-07-20 22:18:49,2022-07-20 22:18:52,"3,018",2022-07-21 11:21:26
CS115563,2022-07-20 14:21:35,2022-07-20 14:21:40,2022-07-20 22:17:07,2022-07-20 22:18:15,"3,286.32",2022-07-21 11:56:44
CS115560,2022-07-20 14:13:09,2022-07-20 14:20:46,2022-07-20 22:29:38,2022-07-20 22:29:42,3.9,2022-07-21 12:22:08
CS115558,2022-07-20 14:10:41,2022-07-20 14:10:45,2022-07-20 22:24:33,2022-07-20 22:24:36,144.8,2022-07-21 10:26:08
CS115555,2022-07-20 14:08:22,2022-07-21 7:24:00,2022-07-21 7:24:01,2022-07-21 7:24:03,100,
CS115553,2022-07-20 14:08:10,2022-07-21 10:49:43,2022-07-21 13:52:36,2022-07-21 14:21:57,"1,526.40",
CS115552,2022-07-20 14:06:12,2022-07-20 14:06:15,2022-07-20 14:30:32,2022-07-20 15:09:22,"2,541.60",2022-07-21 8:48:16
CS115549,2022-07-20 14:00:57,2022-07-20 14:06:30,2022-07-20 19:59:14,2022-07-20 20:14:34,155.4,2022-07-21 11:29:06
CS115545,2022-07-20 13:44:21,2022-07-20 14:51:41,2022-07-20 14:51:43,2022-07-20 14:51:45,55,2022-07-21 12:44:23
CS115544,2022-07-20 13:44:11,2022-07-20 13:44:22,2022-07-20 22:19:59,2022-07-20 22:20:01,"1,314.73",2022-07-21 14:17:32
CS115538,2022-07-20 13:32:00,2022-07-20 13:32:02,2022-07-20 22:23:53,2022-07-20 22:23:55,301.44,2022-07-21 10:36:03
CS115537,2022-07-20 13:30:48,2022-07-20 13:30:59,2022-07-20 22:28:22,2022-07-20 22:28:25,88.2,2022-07-21 11:05:42
CS115536,2022-07-20 13:28:46,2022-07-20 13:28:55,2022-07-21 7:42:47,2022-07-21 8:04:55,201.6,2022-07-21 14:38:01
CS115533,2022-07-20 13:14:36,2022-07-20 13:19:40,2022-07-20 20:41:58,2022-07-20 21:40:58,40,2022-07-21 11:30:31
CS115528,2022-07-20 13:10:07,2022-07-20 13:15:47,2022-07-20 17:23:22,2022-07-20 17:28:57,990,2022-07-21 9:33:34
CS115527,2022-07-20 13:06:08,2022-07-20 13:06:11,2022-07-20 21:54:08,2022-07-20 21:54:21,686,2022-07-21 9:34:45
CS115526,2022-07-20 13:05:14,2022-07-20 13:05:17,2022-07-20 21:32:09,2022-07-20 21:53:51,646.04,2022-07-21 10:18:18
CS115524,2022-07-20 13:03:03,2022-07-20 13:03:39,2022-07-20 21:33:19,2022-07-21 0:53:42,365,2022-07-21 10:39:45
CS115523,2022-07-20 12:54:22,2022-07-20 17:06:38,2022-07-20 17:06:39,2022-07-20 17:06:40,0,
CS115521,2022-07-20 12:50:27,2022-07-20 17:07:13,2022-07-20 17:07:45,2022-07-20 17:07:46,0.27,2022-07-21 8:36:56
CS115520,2022-07-20 12:49:28,2022-07-20 12:49:38,2022-07-20 22:14:40,2022-07-20 22:14:43,184.21,2022-07-21 11:06:20
CS115517,2022-07-20 12:33:09,2022-07-20 13:36:13,2022-07-20 13:36:19,2022-07-20 13:36:20,0.7,2022-07-21 8:36:54
CS115516,2022-07-20 12:31:24,2022-07-20 12:38:48,2022-07-20 21:18:35,2022-07-20 21:26:32,"1,560",2022-07-21 9:57:30
CS115515,2022-07-20 12:28:20,2022-07-20 17:04:40,2022-07-20 17:04:53,2022-07-20 17:04:58,9.61,2022-07-21 9:05:01
CS115507,2022-07-20 12:19:08,2022-07-20 12:19:21,2022-07-20 20:21:50,2022-07-20 20:44:17,723.28,2022-07-21 9:39:57
CS115503,2022-07-20 12:13:52,2022-07-20 12:14:47,2022-07-20 15:10:25,2022-07-20 15:25:37,"1,085.70",2022-07-21 10:21:21
CS115502,2022-07-20 12:13:30,2022-07-20 12:14:32,2022-07-20 20:54:38,2022-07-20 21:32:36,658.28,2022-07-21 8:46:14
CS115496,2022-07-20 12:08:36,2022-07-20 12:13:25,2022-07-20 19:27:15,2022-07-20 19:39:58,659.2,2022-07-21 10:47:31
CS115495,2022-07-20 12:08:14,2022-07-20 13:35:40,2022-07-20 13:35:49,2022-07-20 13:35:51,5,2022-07-21 11:04:16
CS115493,2022-07-20 11:58:17,2022-07-20 13:35:08,2022-07-20 13:35:15,2022-07-20 13:35:19,3,2022-07-21 8:39:05
CS115492,2022-07-20 11:58:13,2022-07-20 11:59:20,2022-07-20 18:56:43,2022-07-20 19:20:26,"2,284.60",2022-07-21 8:39:04
CS115491,2022-07-20 11:57:38,2022-07-21 19:31:48,2022-07-21 18:35:47,2022-07-21 19:33:09,"2,435.60",
CS115490,2022-07-20 11:56:35,2022-07-20 11:56:38,2022-07-20 11:58:02,2022-07-20 12:24:13,46.08,2022-07-20 14:46:23
CS115489,2022-07-20 11:55:18,2022-07-20 11:56:18,2022-07-20 20:40:39,2022-07-20 20:49:10,168,2022-07-21 10:19:43
CS115482,2022-07-20 11:39:00,2022-07-20 13:02:04,2022-07-20 13:02:08,2022-07-20 13:02:12,2.19,2022-07-21 9:47:09
CS115481,2022-07-20 11:38:56,2022-07-20 11:39:02,2022-07-20 19:40:28,2022-07-20 20:21:26,645.34,2022-07-21 9:58:26
CS115480,2022-07-20 11:37:22,2022-07-20 11:37:25,2022-07-20 20:08:20,2022-07-20 20:28:09,54.24,2022-07-21 7:40:34
CS115479,2022-07-20 11:32:55,2022-07-20 13:01:02,2022-07-20 13:01:08,2022-07-20 13:01:09,16.15,2022-07-21 8:52:41
CS115475,2022-07-20 11:22:07,2022-07-20 13:11:04,2022-07-20 13:11:13,2022-07-20 13:11:18,10,2022-07-21 8:50:47
CS115474,2022-07-20 11:19:29,2022-07-20 11:26:36,2022-07-20 16:22:31,2022-07-20 16:48:42,456.08,2022-07-21 7:08:31
CS115473,2022-07-20 11:15:34,2022-07-20 11:47:46,2022-07-20 11:47:50,2022-07-20 11:47:51,5.85,2022-07-21 13:30:24
CS115472,2022-07-20 11:15:28,2022-07-20 11:17:17,2022-07-20 14:02:49,2022-07-20 15:39:20,"8,035.18",2022-07-21 13:30:21
CS115471,2022-07-20 11:14:56,2022-07-20 11:17:17,2022-07-20 16:26:57,2022-07-20 21:40:45,62.2,2022-07-21 7:40:37
CS115470,2022-07-20 11:14:05,2022-07-20 11:14:34,2022-07-20 15:37:23,2022-07-20 16:39:45,556,2022-07-21 7:17:04
CS115469,2022-07-20 11:13:01,2022-07-20 11:13:26,2022-07-20 15:43:12,2022-07-20 15:59:07,19.2,2022-07-21 7:56:42
CS115468,2022-07-20 11:12:17,2022-07-20 11:13:26,2022-07-20 17:14:18,2022-07-20 18:28:45,0,
CS115467,2022-07-20 11:10:42,2022-07-20 11:11:06,2022-07-20 22:15:21,2022-07-20 22:15:22,140,2022-07-21 11:59:44
CS115463,2022-07-20 10:59:29,2022-07-20 11:02:48,2022-07-20 17:43:24,2022-07-20 17:46:13,181.35,2022-07-21 10:05:51
CS115462,2022-07-20 10:58:51,2022-07-20 14:00:53,2022-07-20 14:01:00,2022-07-20 14:01:03,133.35,2022-07-21 10:00:59
CS115460,2022-07-20 10:58:47,2022-07-20 10:58:50,2022-07-20 11:19:20,2022-07-20 11:45:26,"3,960",2022-07-20 18:19:58
CS115461,2022-07-20 10:58:42,2022-07-20 11:02:48,2022-07-20 17:29:30,2022-07-20 17:43:10,128,2022-07-21 10:00:57
CS115459,2022-07-20 10:58:11,2022-07-20 10:58:22,2022-07-20 18:58:16,2022-07-20 21:23:23,"1,361.89",2022-07-21 11:45:35
CS115455,2022-07-20 10:48:44,2022-07-20 10:48:51,2022-07-20 15:59:43,2022-07-20 16:09:30,123,2022-07-21 9:33:51
CS115454,2022-07-20 10:48:23,2022-07-20 10:48:50,2022-07-20 18:34:16,2022-07-20 18:43:17,444.8,2022-07-21 9:49:40
CS115452,2022-07-20 10:45:56,2022-07-20 10:46:49,2022-07-20 16:40:26,2022-07-20 17:31:44,"1,392.33",2022-07-21 9:12:53
CS115449,2022-07-20 10:39:21,2022-07-20 10:47:31,2022-07-20 16:00:56,2022-07-20 16:11:21,75.6,2022-07-21 7:56:46
CS115448,2022-07-20 10:39:00,2022-07-20 14:00:23,2022-07-20 14:00:27,2022-07-20 14:00:29,55.06,2022-07-21 8:36:32
CS115447,2022-07-20 10:38:57,2022-07-20 10:47:32,2022-07-20 15:27:28,2022-07-20 15:58:41,"1,340.55",2022-07-21 8:36:52
CS115442,2022-07-20 10:33:09,2022-07-20 11:03:25,2022-07-20 11:03:27,2022-07-20 11:03:28,0,
CS115441,2022-07-20 10:32:33,2022-07-20 10:33:05,2022-07-21 14:37:34,2022-07-21 14:54:54,"1,102.40",2022-07-22 10:39:06
CS115441,2022-07-20 10:32:33,2022-07-20 10:33:05,2022-07-21 14:37:34,2022-07-21 14:54:54,"1,102.40",
CS115440,2022-07-20 10:30:37,2022-07-20 10:33:05,2022-07-20 20:44:41,2022-07-20 21:16:16,535.25,2022-07-21 9:53:09
CS115439,2022-07-20 10:28:59,2022-07-20 10:33:05,2022-07-20 16:12:00,2022-07-20 16:26:10,106,2022-07-21 10:29:55
CS115437,2022-07-20 10:27:49,2022-07-20 10:33:05,2022-07-20 17:30:58,2022-07-20 17:38:09,79.92,2022-07-21 9:09:03
CS115432,2022-07-20 10:20:54,2022-07-20 10:21:00,2022-07-20 19:39:10,2022-07-20 19:58:41,597.1,2022-07-21 11:12:08
CS115431,2022-07-20 10:20:16,2022-07-20 12:05:37,2022-07-20 12:05:40,2022-07-20 12:05:41,200,2022-07-20 13:37:34
CS115430,2022-07-20 10:20:15,2022-07-20 10:20:19,2022-07-20 13:42:29,2022-07-20 13:56:21,264,2022-07-20 15:18:39
CS115427,2022-07-20 10:08:54,2022-07-20 10:08:58,2022-07-20 14:01:13,2022-07-20 14:30:08,"3,057",2022-07-20 17:14:07
CS115423,2022-07-20 9:59:38,2022-07-20 9:59:42,2022-07-21 10:39:47,2022-07-21 10:58:21,473.1,2022-07-22 9:51:28
CS115418,2022-07-20 9:55:17,2022-07-20 11:29:11,2022-07-20 11:29:19,2022-07-20 11:29:21,0,
CS115417,2022-07-20 9:50:27,2022-07-20 9:54:15,2022-07-20 12:57:42,2022-07-20 13:25:02,108.49,2022-07-20 17:10:37
CS115415,2022-07-20 9:49:27,2022-07-20 9:54:16,2022-07-20 13:39:35,2022-07-20 14:02:43,"1,228.22",2022-07-20 16:28:37
CS115413,2022-07-20 9:44:54,2022-07-20 9:54:54,2022-07-20 14:58:42,2022-07-20 15:09:47,330,2022-07-21 8:21:27
CS115411,2022-07-20 9:41:38,2022-07-20 9:41:40,2022-07-20 9:43:17,2022-07-20 11:11:02,110,2022-07-20 19:08:41
CS115408,2022-07-20 9:37:17,2022-07-20 9:37:27,2022-07-20 15:39:50,2022-07-20 21:40:36,346.5,2022-07-21 10:46:27
CS115407,2022-07-20 9:36:52,2022-07-20 9:36:54,2022-07-20 13:53:52,2022-07-20 14:30:21,876.66,2022-07-20 18:20:50
CS115403,2022-07-20 9:28:52,2022-07-20 9:30:12,2022-07-20 13:58:18,2022-07-20 15:05:52,"1,390.52",2022-07-20 17:31:20
CS115402,2022-07-20 9:28:22,2022-07-21 8:25:47,2022-07-21 8:25:52,2022-07-21 8:25:55,112,2022-07-22 8:35:26
CS115401,2022-07-20 9:27:57,2022-07-21 18:33:57,2022-07-21 18:38:17,2022-07-21 18:38:19,184.85,2022-07-22 8:35:30
CS115398,2022-07-20 9:22:41,2022-07-20 9:22:47,2022-07-20 17:46:30,2022-07-20 18:04:53,247.77,2022-07-21 11:01:35
CS115397,2022-07-20 9:22:17,2022-07-20 10:27:18,2022-07-20 10:27:29,2022-07-20 10:27:30,1.25,2022-07-20 19:51:46
CS115392,2022-07-20 9:15:46,2022-07-20 9:16:47,2022-07-20 12:51:22,2022-07-20 12:54:18,52.35,2022-07-20 17:14:25
CS115391,2022-07-20 9:09:43,2022-07-20 9:20:02,2022-07-20 16:42:07,2022-07-20 18:53:54,"3,241.56",2022-07-21 11:31:44
CS115390,2022-07-20 9:09:21,2022-07-20 9:10:33,2022-07-20 13:00:40,2022-07-20 13:54:08,"2,446.40",2022-07-20 17:31:09
CS115383,2022-07-20 8:45:34,2022-07-20 8:45:41,2022-07-20 11:34:58,2022-07-20 12:42:45,"2,712",2022-07-20 16:24:07
CS115382,2022-07-20 8:44:30,2022-07-20 10:55:40,2022-07-20 10:55:43,2022-07-20 10:55:45,15,2022-07-21 7:31:22
CS115380,2022-07-20 8:44:21,2022-07-20 8:44:38,2022-07-20 15:26:35,2022-07-20 15:32:06,"2,107.73",2022-07-21 7:31:03
CS115379,2022-07-20 8:44:01,2022-07-20 8:44:24,2022-07-20 12:48:43,2022-07-20 12:55:53,103.8,2022-07-20 17:02:23
CS115376,2022-07-20 8:41:06,2022-07-20 8:50:51,2022-07-20 12:46:50,2022-07-20 12:58:58,133.78,2022-07-20 17:10:57
CS115369,2022-07-20 8:28:41,2022-07-20 8:29:54,2022-07-20 12:32:38,2022-07-20 12:40:13,151.2,2022-07-20 17:23:03
